title,location,year,odometer,price,link
2022 Toyota RAV4,"Christchurch, Canterbury",2022,"8,900km","$56,990",https://www.trademe.co.nz/a/motors/cars/toyota/rav4/listing/4757915011?rsqid=9ba08d9f92a04115aa63d78a1679bc22-001
2019 Toyota RAV4,"Auckland, Auckland  ",2019,"68,331km","$42,490",https://www.trademe.co.nz/a/motors/cars/toyota/rav4/listing/4612774895?rsqid=9ba08d9f92a04115aa63d78a1679bc22-001
2019 Toyota RAV4,"Auckland, Auckland  ",2019,"68,638km","$38,888",https://www.trademe.co.nz/a/motors/cars/toyota/rav4/listing/4603985555?rsqid=9ba08d9f92a04115aa63d78a1679bc22-001
2022 Toyota RAV4,NA                  ,2022,"19,650km","$36,000",https://www.trademe.co.nz/a/motors/cars/toyota/rav4/listing/4743932949?rsqid=9ba08d9f92a04115aa63d78a1679bc22-001
2021 Toyota RAV4,"Auckland, Auckland  ",2021,"8,675km","$63,800",https://www.trademe.co.nz/a/motors/cars/toyota/rav4/listing/4736495273?rsqid=9ba08d9f92a04115aa63d78a1679bc22-001
2022 Toyota RAV4,"Auckland, Auckland  ",2022,"3,980km","$54,500",https://www.trademe.co.nz/a/motors/cars/toyota/rav4/listing/4545928934?rsqid=9ba08d9f92a04115aa63d78a1679bc22-001
2020 Toyota RAV4,"Auckland, Auckland  ",2020,"47,254km","$34,990",https://www.trademe.co.nz/a/motors/cars/toyota/rav4/listing/4735952201?rsqid=9ba08d9f92a04115aa63d78a1679bc22-001
2019 Toyota RAV4,"New Lynn, Auckland  ",2019,"41,000km",,https://www.trademe.co.nz/a/motors/cars/toyota/rav4/listing/4749523010?rsqid=9ba08d9f92a04115aa63d78a1679bc22-001
2020 Toyota RAV4,NA                  ,2020,"5,359km","$55,990",https://www.trademe.co.nz/a/motors/cars/toyota/rav4/listing/4480253340?rsqid=9ba08d9f92a04115aa63d78a1679bc22-001
2019 Toyota RAV4,NA                  ,2019,"62,618km","$44,990",https://www.trademe.co.nz/a/motors/cars/toyota/rav4/listing/4282175728?rsqid=9ba08d9f92a04115aa63d78a1679bc22-001
2022 Toyota RAV4,"Auckland, Auckland  ",2022,"64,800km 1986cc, Petrol, Automatic","$30,990",https://www.trademe.co.nz/a/motors/cars/toyota/rav4/listing/4776626367?rsqid=9ba08d9f92a04115aa63d78a1679bc22-001
2022 Toyota RAV4,"Auckland, Auckland  ",2022,"39,600km 1986cc, Petrol, Automatic","$33,990",https://www.trademe.co.nz/a/motors/cars/toyota/rav4/listing/4776626305?rsqid=9ba08d9f92a04115aa63d78a1679bc22-001
2021 Toyota RAV4,"Auckland City, Auckland",2021,"36,355km 2487cc, Petrol, Automatic","$38,000",https://www.trademe.co.nz/a/motors/cars/toyota/rav4/listing/4776283579?rsqid=9ba08d9f92a04115aa63d78a1679bc22-001
2021 Toyota RAV4,NA                  ,2021,"51,551km 1986cc, Petrol, Automatic",,https://www.trademe.co.nz/a/motors/cars/toyota/rav4/listing/4775848191?rsqid=9ba08d9f92a04115aa63d78a1679bc22-001
2022 Toyota RAV4,"Auckland, Auckland  ",2022,"69,850km 1986cc, Petrol, Automatic","$29,990",https://www.trademe.co.nz/a/motors/cars/toyota/rav4/listing/4774802141?rsqid=9ba08d9f92a04115aa63d78a1679bc22-001
2020 Toyota RAV4,"Auckland, Auckland  ",2020,"47,413km 2487cc, Petrol, Automatic","$39,990",https://www.trademe.co.nz/a/motors/cars/toyota/rav4/listing/4774773391?rsqid=9ba08d9f92a04115aa63d78a1679bc22-001
2021 Toyota RAV4,NA                  ,2021,"6,118km 1986cc, Petrol, Automatic","$42,988",https://www.trademe.co.nz/a/motors/cars/toyota/rav4/listing/4774518062?rsqid=9ba08d9f92a04115aa63d78a1679bc22-001
2023 Toyota RAV4,"Auckland, Auckland  ",2023,"18,843km 1986cc, Petrol, Automatic","$35,990",https://www.trademe.co.nz/a/motors/cars/toyota/rav4/listing/4774504810?rsqid=9ba08d9f92a04115aa63d78a1679bc22-001
2022 Toyota RAV4,"Auckland, Auckland  ",2022,"33,500km 2487cc, Petrol, Automatic","$49,900",https://www.trademe.co.nz/a/motors/cars/toyota/rav4/listing/4774891884?rsqid=9ba08d9f92a04115aa63d78a1679bc22-001
2020 Toyota RAV4,"Auckland, Auckland  ",2020,"48,290km 2487cc, Hybrid, Automatic","$45,990",https://www.trademe.co.nz/a/motors/cars/toyota/rav4/listing/4774406945?rsqid=9ba08d9f92a04115aa63d78a1679bc22-001
