title,location,year,odometer,price,link
2023 Honda CR-V,NA                  ,2023,"13,200km 1496cc, Petrol, Automatic",,https://www.trademe.co.nz/a/motors/cars/honda/cr-v/listing/4721092165?rsqid=63a1965ea071426ea6640ec97c989399-001
2020 Honda CR-V,NA                  ,2020,"38,000km 1498cc, Petrol, Automatic","$29,500",https://www.trademe.co.nz/a/motors/cars/honda/cr-v/listing/4706450957?rsqid=63a1965ea071426ea6640ec97c989399-001
2020 Honda CR-V,"Auckland City, Auckland",2020,"39,750km 1498cc, Petrol, Automatic",,https://www.trademe.co.nz/a/motors/cars/honda/cr-v/listing/4706294679?rsqid=63a1965ea071426ea6640ec97c989399-001
2019 Honda CR-V,NA                  ,2019,"46,000km 1498cc, Petrol, Automatic",,https://www.trademe.co.nz/a/motors/cars/honda/cr-v/listing/4706160102?rsqid=63a1965ea071426ea6640ec97c989399-001
2018 Honda CR-V,"Waitakere, Auckland ",2018,"75,000km 1498cc, Petrol, Automatic","$24,000",https://www.trademe.co.nz/a/motors/cars/honda/cr-v/listing/4707631924?rsqid=63a1965ea071426ea6640ec97c989399-001
2019 Honda CR-V,NA                  ,2019,"52,200km 1498cc, Petrol, Automatic","$28,000",https://www.trademe.co.nz/a/motors/cars/honda/cr-v/listing/4773343377?rsqid=63a1965ea071426ea6640ec97c989399-001
2020 Honda CR-V,"Manukau, Auckland   ",2020,"16,200km 1498cc, Petrol, Automatic",,https://www.trademe.co.nz/a/motors/cars/honda/cr-v/listing/4766996029?rsqid=63a1965ea071426ea6640ec97c989399-001
2020 Honda CR-V,"Auckland City, Auckland",2020,"50,000km 1498cc, Petrol, Automatic",,https://www.trademe.co.nz/a/motors/cars/honda/cr-v/listing/4753018093?rsqid=63a1965ea071426ea6640ec97c989399-001
2021 Honda CR-V,"North Shore, Auckland",2021,"9,900km 1496cc, Petrol, Automatic","$35,900",https://www.trademe.co.nz/a/motors/cars/honda/cr-v/listing/4763110813?rsqid=63a1965ea071426ea6640ec97c989399-001
2020 Honda CR-V,NA                  ,2020,"37,000km 1997cc, Petrol, Automatic",,https://www.trademe.co.nz/a/motors/cars/honda/cr-v/listing/4764103084?rsqid=63a1965ea071426ea6640ec97c989399-001
2018 Honda CR-V,NA                  ,2018,"47,900km 1498cc, Petrol, Automatic",,https://www.trademe.co.nz/a/motors/cars/honda/cr-v/listing/4742291960?rsqid=63a1965ea071426ea6640ec97c989399-001
